;id;accumulated_score;achievements;n_achievements
69;23546045;37;['ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];7
70;23545600;36;['ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];7
71;43139356;36;['ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];7
72;23545802;36;['ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];7
73;23546157;36;['ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];7
74;23546345;36;['ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];7
75;23545710;35;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];7
76;23545725;35;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];7
77;23545775;35;['ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'TOP_10_TEMPLATES', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];7
78;23546060;35;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];7
79;23546099;35;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'TOP_10_TEMPLATES', 'MONTHLY_PHISH_REPORTS', 'ALL_YEARLY_ENROLLMENTS'];9
80;23546263;35;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];7
81;23546498;35;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];7
82;23545485;34;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];7
